total fitness: 2.2218, overhead fitness: 0.9879, acc fitness: 0.2460
total fitness: 2.2835, overhead fitness: 0.9948, acc fitness: 0.2940
total fitness: 2.0057, overhead fitness: 0.5089, acc fitness: 0.9880
total fitness: 1.9960, overhead fitness: 0.5040, acc fitness: 0.9880
total fitness: 1.9867, overhead fitness: 0.5003, acc fitness: 0.9860
total fitness: 1.9660, overhead fitness: 0.5000, acc fitness: 0.9660
total fitness: 2.2191, overhead fitness: 0.9586, acc fitness: 0.3020
total fitness: 2.3048, overhead fitness: 0.9934, acc fitness: 0.3180
total fitness: 2.2700, overhead fitness: 1.0000, acc fitness: 0.2700
total fitness: 1.9800, overhead fitness: 0.5070, acc fitness: 0.9660
total fitness: 2.0846, overhead fitness: 0.5423, acc fitness: 1.0000
total fitness: 2.5681, overhead fitness: 0.7950, acc fitness: 0.9780
total fitness: 2.3685, overhead fitness: 0.8802, acc fitness: 0.6080
total fitness: 2.3421, overhead fitness: 0.8690, acc fitness: 0.6040
total fitness: 2.1760, overhead fitness: 0.5970, acc fitness: 0.9820
total fitness: 2.5711, overhead fitness: 0.7995, acc fitness: 0.9720
total fitness: 2.4654, overhead fitness: 0.7487, acc fitness: 0.9680
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.5886, overhead fitness: 0.8073, acc fitness: 0.9740
total fitness: 2.5664, overhead fitness: 0.9132, acc fitness: 0.7400
total fitness: 2.5544, overhead fitness: 0.7922, acc fitness: 0.9700
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.2646, overhead fitness: 0.9993, acc fitness: 0.2660
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.0277, overhead fitness: 0.5238, acc fitness: 0.9800
total fitness: 1.9848, overhead fitness: 0.5004, acc fitness: 0.9840
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.6111, overhead fitness: 0.8255, acc fitness: 0.9600
total fitness: 2.2644, overhead fitness: 0.9942, acc fitness: 0.2760
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.4938, overhead fitness: 0.7589, acc fitness: 0.9760
total fitness: 1.9937, overhead fitness: 0.5018, acc fitness: 0.9900
total fitness: 2.2430, overhead fitness: 0.9975, acc fitness: 0.2480
total fitness: 2.5680, overhead fitness: 0.8600, acc fitness: 0.8480
total fitness: 2.2700, overhead fitness: 1.0000, acc fitness: 0.2700
total fitness: 1.9956, overhead fitness: 0.5018, acc fitness: 0.9920
total fitness: 2.2700, overhead fitness: 1.0000, acc fitness: 0.2700
total fitness: 2.4385, overhead fitness: 0.8473, acc fitness: 0.7440
total fitness: 1.9879, overhead fitness: 0.5020, acc fitness: 0.9840
total fitness: 2.6994, overhead fitness: 0.9327, acc fitness: 0.8340
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 2.2700, overhead fitness: 1.0000, acc fitness: 0.2700
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.2477, overhead fitness: 0.9769, acc fitness: 0.2940
total fitness: 2.3992, overhead fitness: 0.8426, acc fitness: 0.7140
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 1.9946, overhead fitness: 0.5033, acc fitness: 0.9880
total fitness: 2.6222, overhead fitness: 0.8281, acc fitness: 0.9660
total fitness: 2.5802, overhead fitness: 0.8351, acc fitness: 0.9100
total fitness: 2.6042, overhead fitness: 0.8311, acc fitness: 0.9420
total fitness: 2.5932, overhead fitness: 0.9476, acc fitness: 0.6980
total fitness: 2.1213, overhead fitness: 0.5737, acc fitness: 0.9740
total fitness: 2.3398, overhead fitness: 0.6809, acc fitness: 0.9780
total fitness: 2.2722, overhead fitness: 0.9721, acc fitness: 0.3280
total fitness: 1.9828, overhead fitness: 0.5194, acc fitness: 0.9440
total fitness: 2.0965, overhead fitness: 0.5552, acc fitness: 0.9860
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.2854, overhead fitness: 0.8097, acc fitness: 0.6660
total fitness: 1.9974, overhead fitness: 0.5037, acc fitness: 0.9900
total fitness: 2.2994, overhead fitness: 0.9937, acc fitness: 0.3120
total fitness: 2.7203, overhead fitness: 0.9211, acc fitness: 0.8780
total fitness: 2.2825, overhead fitness: 0.8373, acc fitness: 0.6080
total fitness: 2.6025, overhead fitness: 0.8153, acc fitness: 0.9720
total fitness: 2.3581, overhead fitness: 0.6931, acc fitness: 0.9720
total fitness: 1.9702, overhead fitness: 0.5011, acc fitness: 0.9680
total fitness: 2.5357, overhead fitness: 0.8638, acc fitness: 0.8080
total fitness: 2.2343, overhead fitness: 0.9771, acc fitness: 0.2800
total fitness: 2.3874, overhead fitness: 0.7037, acc fitness: 0.9800
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 1.9932, overhead fitness: 0.5006, acc fitness: 0.9920
total fitness: 1.9945, overhead fitness: 0.5033, acc fitness: 0.9880
total fitness: 1.9933, overhead fitness: 0.5027, acc fitness: 0.9880
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.5734, overhead fitness: 0.7987, acc fitness: 0.9760
total fitness: 2.0072, overhead fitness: 0.5246, acc fitness: 0.9580
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.0101, overhead fitness: 0.5111, acc fitness: 0.9880
total fitness: 1.9848, overhead fitness: 0.5014, acc fitness: 0.9820
total fitness: 1.9941, overhead fitness: 0.5030, acc fitness: 0.9880
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 2.5371, overhead fitness: 0.9605, acc fitness: 0.6160
total fitness: 1.9874, overhead fitness: 0.5007, acc fitness: 0.9860
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
BEST OF GEN 2: test overhead = 0.0772, test acc = 0.0972
GEN 2: best fitness = 2.7203 (took 503.78 sec)
total fitness: 2.0000, overhead fitness: 0.5040, acc fitness: 0.9920
total fitness: 2.6105, overhead fitness: 0.8163, acc fitness: 0.9780
total fitness: 2.6804, overhead fitness: 0.9442, acc fitness: 0.7920
total fitness: 2.2069, overhead fitness: 0.9815, acc fitness: 0.2440
total fitness: 2.6212, overhead fitness: 0.8486, acc fitness: 0.9240
total fitness: 1.9905, overhead fitness: 0.5003, acc fitness: 0.9900
total fitness: 2.5925, overhead fitness: 0.8042, acc fitness: 0.9840
