total fitness: 2.5950, overhead fitness: 0.8565, acc fitness: 0.8820
total fitness: 2.8355, overhead fitness: 0.9358, acc fitness: 0.9640
total fitness: 2.6022, overhead fitness: 0.8561, acc fitness: 0.8900
total fitness: 2.8363, overhead fitness: 0.9581, acc fitness: 0.9200
BEST OF GEN 2: test overhead = 0.0362, test acc = 0.0774
GEN 2: best fitness = 2.8583 (took 365.08 sec)
total fitness: 2.8300, overhead fitness: 0.9400, acc fitness: 0.9500
total fitness: 2.5731, overhead fitness: 0.9995, acc fitness: 0.5740
total fitness: 2.7848, overhead fitness: 0.9824, acc fitness: 0.8200
total fitness: 2.6960, overhead fitness: 0.9880, acc fitness: 0.7200
total fitness: 2.8581, overhead fitness: 0.9620, acc fitness: 0.9340
total fitness: 2.8490, overhead fitness: 0.9635, acc fitness: 0.9220
total fitness: 2.6477, overhead fitness: 0.8318, acc fitness: 0.9840
total fitness: 2.6716, overhead fitness: 0.8508, acc fitness: 0.9700
total fitness: 2.8278, overhead fitness: 0.9649, acc fitness: 0.8980
total fitness: 2.8233, overhead fitness: 0.9426, acc fitness: 0.9380
total fitness: 2.8318, overhead fitness: 0.9659, acc fitness: 0.9000
total fitness: 2.8208, overhead fitness: 0.9684, acc fitness: 0.8840
total fitness: 2.7885, overhead fitness: 0.9822, acc fitness: 0.8240
total fitness: 2.7290, overhead fitness: 0.9665, acc fitness: 0.7960
total fitness: 2.8383, overhead fitness: 0.9371, acc fitness: 0.9640
total fitness: 2.8368, overhead fitness: 0.9654, acc fitness: 0.9060
total fitness: 2.8475, overhead fitness: 0.9648, acc fitness: 0.9180
total fitness: 2.8326, overhead fitness: 0.9663, acc fitness: 0.9000
total fitness: 2.7216, overhead fitness: 0.9878, acc fitness: 0.7460
total fitness: 2.8387, overhead fitness: 0.9674, acc fitness: 0.9040
total fitness: 2.7896, overhead fitness: 0.9798, acc fitness: 0.8300
total fitness: 2.8180, overhead fitness: 0.9310, acc fitness: 0.9560
total fitness: 2.7965, overhead fitness: 0.9803, acc fitness: 0.8360
total fitness: 2.6701, overhead fitness: 0.8520, acc fitness: 0.9660
total fitness: 2.6311, overhead fitness: 0.8195, acc fitness: 0.9920
total fitness: 2.8283, overhead fitness: 0.9391, acc fitness: 0.9500
total fitness: 2.6317, overhead fitness: 0.8198, acc fitness: 0.9920
total fitness: 2.8312, overhead fitness: 0.9656, acc fitness: 0.9000
total fitness: 2.8519, overhead fitness: 0.9619, acc fitness: 0.9280
total fitness: 2.6711, overhead fitness: 0.8505, acc fitness: 0.9700
total fitness: 2.8264, overhead fitness: 0.9672, acc fitness: 0.8920
total fitness: 2.8341, overhead fitness: 0.9680, acc fitness: 0.8980
total fitness: 2.8312, overhead fitness: 0.9656, acc fitness: 0.9000
total fitness: 2.8386, overhead fitness: 0.9643, acc fitness: 0.9100
total fitness: 2.4698, overhead fitness: 0.9729, acc fitness: 0.5240
total fitness: 2.8391, overhead fitness: 0.9375, acc fitness: 0.9640
total fitness: 2.8404, overhead fitness: 0.9642, acc fitness: 0.9120
total fitness: 2.8296, overhead fitness: 0.9688, acc fitness: 0.8920
total fitness: 2.8119, overhead fitness: 0.9270, acc fitness: 0.9580
total fitness: 2.8083, overhead fitness: 0.9722, acc fitness: 0.8640
total fitness: 2.8302, overhead fitness: 0.9651, acc fitness: 0.9000
total fitness: 2.8383, overhead fitness: 0.9651, acc fitness: 0.9080
total fitness: 2.7446, overhead fitness: 0.9853, acc fitness: 0.7740
total fitness: 2.8608, overhead fitness: 0.9614, acc fitness: 0.9380
total fitness: 2.8612, overhead fitness: 0.9616, acc fitness: 0.9380
total fitness: 2.7999, overhead fitness: 0.9779, acc fitness: 0.8440
total fitness: 2.8340, overhead fitness: 0.9680, acc fitness: 0.8980
total fitness: 2.8556, overhead fitness: 0.9628, acc fitness: 0.9300
total fitness: 2.8449, overhead fitness: 0.9645, acc fitness: 0.9160
total fitness: 2.8279, overhead fitness: 0.9649, acc fitness: 0.8980
